Date,Open,High,Low,Close,Adj Close,Volume
2019-11-04,11928.900391,11989.150391,11905.349609,11941.299805,11941.299805,800
2019-11-05,11974.599609,11978.950195,11861.900391,11917.200195,11917.200195,600
2019-11-06,11911.500000,12002.900391,11850.250000,11966.049805,11966.049805,600
2019-11-07,12021.099609,12021.400391,11946.849609,12012.049805,12012.049805,600
2019-11-08,11987.150391,12034.150391,11888.750000,11908.150391,11908.150391,800
2019-11-11,11879.200195,11932.650391,11853.950195,11913.450195,11913.450195,500
2019-11-13,11908.299805,11946.799805,11823.200195,11840.450195,11840.450195,700
2019-11-14,11858.750000,11895.650391,11802.650391,11872.099609,11872.099609,600
2019-11-15,11904.200195,11973.650391,11879.250000,11895.450195,11895.450195,600
2019-11-18,11915.150391,11946.200195,11867.599609,11884.500000,11884.500000,500
2019-11-19,11919.450195,11958.849609,11881.750000,11940.099609,11940.099609,600
2019-11-20,12004.750000,12038.599609,11966.049805,11999.099609,11999.099609,600
2019-11-21,12025.650391,12028.200195,11956.900391,11968.400391,11968.400391,600
2019-11-22,11967.299805,11968.099609,11883.500000,11914.400391,11914.400391,500
2019-11-25,11922.450195,12084.500000,11919.750000,12073.750000,12073.750000,500
2019-11-26,12110.200195,12132.450195,12006.349609,12037.700195,12037.700195,1200
2019-11-27,12068.500000,12114.900391,12055.150391,12100.700195,12100.700195,600
2019-11-28,12132.099609,12158.799805,12099.950195,12151.150391,12151.150391,600
2019-11-29,12146.200195,12147.400391,12017.400391,12056.049805,12056.049805,800
2019-12-02,12137.049805,12137.150391,12023.700195,12048.200195,12048.200195,700
2019-12-03,12067.650391,12068.599609,11956.400391,11994.200195,11994.200195,600
2019-12-04,11969.950195,12054.700195,11935.299805,12043.200195,12043.200195,700
2019-12-05,12071.250000,12081.200195,11998.750000,12018.400391,12018.400391,600
2019-12-06,12047.349609,12057.049805,11888.849609,11921.500000,11921.500000,600
2019-12-09,11939.099609,11981.950195,11888.049805,11937.500000,11937.500000,600
2019-12-10,11950.500000,11953.200195,11844.700195,11856.799805,11856.799805,700
2019-12-11,11867.349609,11923.200195,11832.299805,11910.150391,11910.150391,1000
2019-12-12,11944.299805,12005.500000,11934.000000,11971.799805,11971.799805,800
2019-12-13,12026.400391,12098.849609,12023.599609,12086.700195,12086.700195,600
2019-12-16,12131.349609,12134.650391,12046.299805,12053.950195,12053.950195,400
2019-12-17,12082.450195,12182.750000,12070.349609,12165.000000,12165.000000,500
2019-12-18,12197.000000,12237.700195,12163.450195,12221.650391,12221.650391,500
2019-12-19,12223.400391,12268.349609,12191.150391,12259.700195,12259.700195,600
2019-12-20,12266.450195,12293.900391,12252.750000,12271.799805,12271.799805,800
2019-12-23,12235.450195,12287.150391,12213.250000,12262.750000,12262.750000,600
2019-12-24,12269.250000,12283.700195,12202.099609,12214.549805,12214.549805,500
2019-12-26,12211.849609,12221.549805,12118.849609,12126.549805,12126.549805,520300
2019-12-27,12172.900391,12258.450195,12157.900391,12245.799805,12245.799805,383800
2019-12-30,12274.900391,12286.450195,12213.799805,12255.849609,12255.849609,411100
2019-12-31,12247.099609,12247.099609,12151.799805,12168.450195,12168.450195,426900
2020-01-01,12202.150391,12222.200195,12165.299805,12182.500000,12182.500000,304100
2020-01-02,12198.549805,12289.900391,12195.250000,12282.200195,12282.200195,407700
2020-01-03,12261.099609,12265.599609,12191.349609,12226.650391,12226.650391,428800
2020-01-06,12170.599609,12179.099609,11974.200195,11993.049805,11993.049805,396500
2020-01-07,12079.099609,12152.150391,12005.349609,12052.950195,12052.950195,447800
2020-01-08,11939.099609,12044.950195,11929.599609,12025.349609,12025.349609,446000
2020-01-09,12153.150391,12224.049805,12132.549805,12215.900391,12215.900391,477500
2020-01-10,12271.000000,12311.200195,12213.200195,12256.799805,12256.799805,660600
2020-01-13,12296.700195,12337.750000,12285.799805,12329.549805,12329.549805,501000
2020-01-14,12333.099609,12374.250000,12308.700195,12362.299805,12362.299805,616300
2020-01-15,12349.400391,12355.150391,12278.750000,12343.299805,12343.299805,684400
2020-01-16,12347.099609,12389.049805,12315.799805,12355.500000,12355.500000,395700
2020-01-17,12328.400391,12385.450195,12321.400391,12352.349609,12352.349609,502100
2020-01-20,12430.500000,12430.500000,12216.900391,12224.549805,12224.549805,491600
2020-01-21,12195.299805,12230.049805,12162.299805,12169.849609,12169.849609,444000
2020-01-22,12218.349609,12225.049805,12087.900391,12106.900391,12106.900391,500
2020-01-23,12123.750000,12189.000000,12094.099609,12180.349609,12180.349609,867700
2020-01-24,12174.549805,12272.150391,12149.650391,12248.250000,12248.250000,593200
2020-01-27,12197.099609,12216.599609,12107.000000,12119.000000,12119.000000,441200
2020-01-28,12148.099609,12163.549805,12024.500000,12055.799805,12055.799805,478500
2020-01-29,12114.900391,12169.599609,12103.799805,12129.500000,12129.500000,514400
2020-01-30,12147.750000,12150.299805,12010.599609,12035.799805,12035.799805,538100
2020-01-31,12100.400391,12103.549805,11945.849609,11962.099609,11962.099609,771300
2020-02-03,11627.450195,11749.849609,11614.500000,11707.900391,11707.900391,669800
